Course Summary,コース概要
Topics covered:,取り上げた議題：
architecture,アーキテクチャ
Architecture,アーキテクチャ
standards,標準化
Conclusion,ご清聴ありがとうございました
Open API,Ｏｐｅｎ　ＡＰＩ
Fundamentals,基礎
Practitioners' Course,実践講座
FRAMEWORX,ＦＲＡＭＥＷＯＲＸ
Welcome,ようこそ
Summary,サマリー
TM FORUM OPEN API,ＴＭフォーラムオープンＡＰＩ
Praconers' Course,実践講座
Fundamenals,基礎
Open Digial,オープンデジタル
Archiecure,アーキテクチャ
Praconers,実践
TM Forum open APIs,TMフォーラムオープンAPI
Migration strategies,移行戦略
Different approaches in detail,細部まで異なるアプローチ
Wrap up and review,仕上げとレビュー
Further Study,さらなる学習
Digial eﬃciency,Digial eﬃciency
Digial enablemen,デジタル使用可能性
Culure & Srucure,カルチャー＆構造
Operaons,オペレーション
Cusomer & Parner,カスタマー＆パートナー
Cenriciy,中心性
Sraegy,ストラテジー
Thanks for taking this course!,受講ありがとうございました
migration,移行
Operations,業務内容
Introduction,イントロダクジョン
Wrap up,仕上げ
Question,質問
Click SUBMIT,クリックして送信
Multiple Choice,複数選択
Incorrect,不正解
Correct,正解
Freeform,自由入力
preliminary design,基本設計
architects,設計者
the northbound APIs,"""the northbound APIs"""
"You are absolutely right",全て正解
"Not quite right.",全て不正解
Click the NEXT button to continue throughout this course.,コースを継続するにはNEXTをクリック
Sorry. Perhaps you,失礼ですが、もう一度
should consider,このモジュールを見直して
reviewing this module,みてはいかがでしょうか？
again before exiting!,again before exiting!
Click on each additional tab to learn more…,各追加タブをクリックして詳細を確認してください。
Ecosystem-capable,エコシステム対応
Ecosystem,エコシステム
Click to go back,戻る
governing,統制する
statement,ステートメント
Exit,終了
Click the NEXT button to,Nextをクリック
Learn More,更に詳しく
continue throughout this course.,このコースを通して継続していきます。
Topics covered:,トピックをカバーしています。
Would you like to resume where you left off?,前の仕事を再開しますか？
Click on each tab/number to learn more.,各タブ/番号をクリックすると詳細が表示されます。
Can't Play Course,コースをプレイすることはできません。
"For security reasons, Flash cannot access files on your computer's hard disk from your web browser.",セキュリティ上の理由により、Flashはウェブブラウザからコンピュータのハードディスク内のファイルにアクセスすることができません。
Learn More,Learn More
Warning Message,警告メッセージ
Conclusion,ご清聴ありがとうございました
thank you video 1,thank you video 1
EXIT MODULE,EXIT モジュール
RESTART,再起動
Thanks for taking this course!,受講ありがとうございました
Welcome,ようこそ
catalyst projects,カタリストプロジェクト
end-to end,e2e
end to end,e2e